"Z_1","Z_2","Z_3","Z_4","Z_5","Z_6","Z_7","Z_8","Z_9","Z_10","Z_11","Z_12","Z_13","Z_14","Z_15","Z_16","Z_17","Z_18","Z_19","Z_20","Z_21","Z_22","Z_23","Z_24","Z_25","Z_26","Z_27","Z_28","Z_29","Z_30"
0,0.0360530289489044,0,0,0,0,0,0,0.00437342648260903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654666059795508,0,0.00907965120931528
0.437880388314516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00789248991622075
0,0.239829622735709,0,0,0,0,0,0,0,0.00453269835291462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00587587313302208,0.0238231489082231,0.335279064515759,0,0,0,0,0,0,0,0.0048365513808968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788642658992745
0,0,0,0.312516830702902,0,0,0,0.00491324711655148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00595717437678388,0.00457837445122715,0,0.0467610401611681,0.283957190433695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0121348686762751,0,0,0.0160329222972353,0.241354885310125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00542031329971716,0,0.0537406717261582,0.374074719800866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0203183641284709,0.244134925973464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0466625604569544,0.311864314236263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116213249606739,0,0
0,0,0,0,0,0,0,0,0.019681553361471,0.23912739687567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0666692060095635,0.260577570618245,0,0,0,0,0,0,0,0,0,0,0,0.00591634026491015,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0270843088081875,0.23936649814996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463105958059518,0,0
0,0,0,0.00451124110448754,0,0,0,0,0.00890498485643341,0,0,0.0785233373440758,0.269825530201341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518120680087222,0
0.00582661312947282,0,0,0,0,0,0,0,0,0,0,0,0.0306712765260723,0.229046990461906,0,0,0,0,0,0,0,0,0,0,0.0050608440537673,0,0,0,0,0.00430861988852894
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687349069337013,0.273295392144339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470381192772905,0.184777966386081,0,0,0,0,0,0,0,0,0,0,0,0,0.00466629761108861,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071408975235094,0.253188127705285,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649191150921313,0.0197009753043242,0.278990403354479,0,0,0,0,0.00539168820887646,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717128455477391,0.239078829225914,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359547056235225,0.166196312073949,0,0,0,0.00497126841544452,0.00691574666237858,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.00438951070816606,0,0,0,0,0,0,0.0957682671226533,0.225757392280557,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222935510951315,0.227835252850938,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890200342142764,0.288364163699445,0,0,0,0,0,0,0
0.00993173642271265,0.0105836207997605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00804582193731205,0,0,0.024637295258349,0.167782007588227,0,0,0,0,0,0
0,0,0.00438893546890569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849016281004644,0.269001045351261,0,0,0.00521764554820281,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555063897298842,0.00837042530777709,0.253924207050066,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442708779261477,0.00559363677914343,0,0,0,0,0.0716856784289816,0.224738163056137,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505506834550117,0,0,0,0,0.0319249333921348,0.061797664619842,0,1.25134247350919
0,0,0,0,0,0,0,0,0.00654104609324925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00491444078867519,0,0,0,0,0.00632844695157185,0.0804086124568895,0
