"Z_1","Z_2","Z_3","Z_4","Z_5","Z_6","Z_7","Z_8","Z_9","Z_10","Z_11","Z_12","Z_13","Z_14","Z_15","Z_16","Z_17","Z_18","Z_19","Z_20","Z_21","Z_22","Z_23","Z_24","Z_25","Z_26","Z_27","Z_28","Z_29","Z_30"
0,0,0.0215559750480144,0,0,0,0,0,0,0,0,0,0.019974223111948,0.0169495033220739,0,0,0.0350488969587526,0,0,0,0,0,0,0,0,0,0.0501230991605294,0,0,0
0,0,0,0,0,0,0,0,0,0.0166743578318967,0,0.0056230105848672,0.021820428348397,0,0.02148352789409,0,0,0,0.0344247864614835,0,0,0,0,0,0.036421981702507,0,0,0,0,0
0,0,0,0,0,0,0.0138116537026939,0,0,0,0,0,0,0,0.0391777564813694,0,0.0409479082926616,0,0,0,0,0,0,0,0,0,0,0.0301162759577808,0.0246300485144993,0
0,0,0,0,0,0,0,0,0,0.00369104301755037,0,0,0,0,0,0.00796529775413744,0,0.0230378182333003,0,0,0,0,0.0358883061630827,0,0.0216277630424104,0.0183477784816367,0,0,0.0311174010445456,0
0,0,0,0,0,0,0,0,0,0,0.0361836121488046,0,0,0,0,0,0,0,0.0312506853844067,0,0,0.0204026685811001,0,0,0,0,0,0.0243272856421461,0.0335928246103714,0
0,0.0188902419172344,0,0,0,0,0,0,0,0.0490805365246205,0,0,0,0,0,0.0201178424485529,0,0,0,0.0274053455378199,0,0.0318364806148032,0.00425700450894038,0,0,0,0,0,0,0
0,0,0,0.0277345951440841,0,0,0,0,0,0.0283184189821721,0,0,0,0,0,0,0,0,0.0246820525862967,0,0.0205077445824354,0,0.0139725234255144,0,0,0.00357436723121731,0,0,0,0
0,0,0,0,0,0,0,0,0.0396945680724577,0,0,0,0,0.0484764558755226,0.0167265540426791,0.00555496094337219,0,0.0302413039301875,0,0,0,0,0,0,0,0,0,0.00620410904951488,0,0.0344440136720429
0,0,0,0,0,0,0,0.0415457784462,0,0,0,0.0327887598887527,0,0,0,0,0.0550899297848632,0.0173990353245541,0,0.00323219999500328,0.00473728404648355,0,0,0,0,0.0324496716706644,0,0,0,0
0,0,0,0.0135315970956614,0.0155456242602702,0,0,0.0253424224547641,0,0,0,0,0,0,0,0,0.00334975792418997,0,0,0,0,0.0169906896738652,0,0.029102721423411,0.00585294711570701,0,0,0,0,0
