"Z_1","Z_2","Z_3","Z_4","Z_5","Z_6","Z_7","Z_8","Z_9","Z_10","Z_11","Z_12","Z_13","Z_14","Z_15","Z_16","Z_17","Z_18","Z_19","Z_20","Z_21","Z_22","Z_23","Z_24","Z_25","Z_26","Z_27","Z_28","Z_29","Z_30"
0,0,0.0654369840785891,0,0,0,0,0,0,0,0,0,0.0546905051511654,0.0596838561736375,0,0,0.0948845114726546,0,0,0,0,0,0,0,0,0,0.143314775457933,0,0,0
0,0,0,0,0,0,0,0,0,0.0499361432980612,0,0,0.0648356226807098,0,0.0607718295906521,0,0,0,0.089933375683771,0,0,0,0,0,0.1106919829219,0,0,0,0,0
0,0,0,0,0,0,0.032621198096866,0,0,0,0,0,0,0,0.124985901248317,0,0.110754922115546,0,0,0,0,0,0,0,0,0,0,0.0946907014410733,0.0685053146161975,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203622916893747,0,0.0797415671417671,0,0,0,0,0.111791855770889,0,0.0696302879730609,0.0737896974290117,0,0,0.0944704791222591,0
0,0,0,0,0,0,0,0,0,0,0.11768989251183,0,0,0,0,0,0,0,0.101740837390992,0,0,0.0672675478672602,0,0,0,0,0,0.0777496347381804,0.100673124185737,0
0,0.0565328860597578,0,0,0,0,0,0,0,0.131855454144938,0,0,0,0,0,0.0696534356990682,0,0,0,0.0797153671912065,0,0.0939565670046035,0,0,0,0,0,0,0,0
0,0,0,0.103373948475384,0,0,0,0,0,0.0877436275001304,0,0,0,0,0,0,0,0,0.0982198950282804,0,0.0844805250003881,0,0.0587007564657356,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.109119750294282,0,0,0,0,0.127747590639734,0.0684826307996094,0,0,0.102308897983902,0,0,0,0,0,0,0,0,0,0,0,0.113720725002771
0,0,0,0,0,0,0,0.105369881193361,0,0,0,0.0861916694270466,0,0,0,0,0.130777987323379,0.0417202907518825,0,0,0,0,0,0,0,0.0828297466385318,0,0,0,0
0,0,0,0.058723394924688,0.0638207798900328,0,0,0.103841223541306,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742977046108136,0,0.107591492979264,0,0,0,0,0,0
0,0,0,0.0905130625311004,0.104112481021529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889069041540033,0,0.0917785366978444,0,0,0.117067728140671,0,0,0,0
0,0,0.0470720888655009,0,0.08862899801368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285995704209611,0,0,0.1219958953237,0,0.112944987569043,0,0.00142927227402739,0,0,0
0,0,0,0,0,0,0.0571921796384998,0.127563487040603,0,0,0,0,0,0.114157080878757,0,0.0571780444310311,0,0.0787134016175934,0,0,0,0,0,0,0,0,0,0,0,0
0.0967856070704298,0,0,0,0.0955595242434888,0,0,0,0,0,0,0,0.0919354578409839,0,0,0,0,0,0,0,0,0,0.0954864865606655,0.0915176309734178,0,0,0,0,0,0
0,0.057890369654354,0,0,0.0108112525019304,0.074426870199667,0,0.0992919500494023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130226872522265,0.131602214644775,0,0
0,0,0.12887707599774,0,0,0,0,0,0,0,0.0581306074839042,0.0994315898660785,0,0.0533269615589381,0,0,0,0,0,0,0,0,0,0,0.0529683644621717,0,0,0,0,0
0.0892842304141781,0.0559297995984681,0,0,0,0.00101051935201871,0.11686352014941,0,0,0,0,0,0,0,0,0.0504971033675438,0,0,0,0,0,0.0792174174899295,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0529975858866961,0,0,0,0,0,0,0,0,0,0.0197109554178035,0,0,0,0,0,0.104367086335059,0.0432847274132056,0.0560449717678925,0,0,0,0,0,0
0,0,0,0.0982302188237182,0,0,0,0,0,0.0960422599319277,0,0,0,0,0,0.0357703767456595,0,0,0,0,0.103425009359479,0,0,0,0,0,0,0,0.0560893003318968,0
0,0,0.13776932546349,0,0,0.0848820296078269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766874306433693,0.0804817335592216,0,0,0,0.0827292107195176,0,0,0
0,0.0128175618518109,0,0,0,0,0,0,0,0.0937541606168388,0,0.0706740723504081,0,0,0,0,0.0981415759680886,0,0.0953156359745665,0,0,0,0,0,0,0,0,0,0,0.0985169300641797
0,0.0699861124394237,0,0.0786554974184493,0,0,0,0,0,0.0973623734551397,0,0,0,0,0.137042251140566,0.0330306787571442,0,0,0,0,0,0,0,0,0.0355497765963153,0,0,0,0,0
0,0,0.0680820496108875,0,0,0,0,0,0,0.072170946225898,0,0,0,0,0,0,0.108576045643825,0,0,0,0,0,0,0,0,0,0,0.0864715118109917,0,0.0931206312253086
0,0.0367344919121284,0,0,0,0,0,0,0,0,0,0,0,0,0.0963447236865454,0,0,0,0,0.0531114113475737,0,0,0,0,0.143175816410888,0.0704243954659945,0,0,0,0
0,0,0,0,0,0.0719408756469245,0,0,0,0.0703179711527562,0.044592675708702,0,0,0,0,0,0,0,0,0.110447316807133,0,0,0,0,0,0.108931370754306,0,0,0,0
0,0,0,0,0,0,0,0.052345234326114,0.134457268256272,0,0,0,0,0.093575422145091,0,0.056607011175183,0.0731596079005897,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101253752941106,0,0,0,0.142190133847925,0.0883866653072492,0,0,0,0,0,0,0.063263642372044,0,0,0,0,0,0,0,0,0,0.0559314767901527,0,0.000112115118678314,0,0,0,0,0
0,0.0800640339171954,0,0,0,0.0221625342506413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118267878904925,0,0,0,0,0.0470795553147363,0,0,0.0544919591122081,0
0,0.0835880347205425,0,0,0,0,0,0.107353497220098,0,0,0,0,0,0,0,0,0.109836953297381,0,0.120934137368857,0.0420372979942745,0,0,0,0,0,0,0,0.00289544034441866,0,0
0.0937239269588592,0.0775686515733243,0,0.0522345583536411,0,0,0,0,0,0,0,0,0,0,0,0.0384839827704898,0,0.126640745179615,0,0,0,0,0,0,0,0,0,0,0,0
