Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30
0.0,0.0,0.12678963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11771344,0.1054574,0.0,0.0,0.1730312,0.0,0.0,0.0,0.0,0.053822674,0.0,0.0,0.0,0.0,0.23937461,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0532098,0.0,0.0,0.0,0.0,0.0993055,0.0,0.0,0.16116497,0.0,0.116743155,0.0,0.0,0.0,0.17202637,0.0,0.0,0.0,0.0,0.0,0.1900451,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.069539696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20841637,0.0,0.2218699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21276417,0.11655819,0.0
0.0,0.0,0.08686371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047105707,0.0,0.15810753,0.0,0.0,0.0,0.0,0.17485093,0.0,0.1100044,0.11911625,0.0,0.0,0.18404612,0.0
0.0,0.050167978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20447838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1827853,0.0,0.0,0.13516885,0.0,0.0,0.0,0.0,0.0,0.122752674,0.1764165,0.0
0.0,0.12809762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24995875,0.0,0.0,0.0,0.0,0.0,0.17849386,0.0,0.0,0.0,0.1447785,0.0,0.15485628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06789439,0.18466511,0.0,0.0,0.0,0.0,0.0,0.13153133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15418805,0.0,0.11807057,0.0,0.08460571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2005904,0.0,0.0,0.0,0.0,0.20941278,0.086666934,0.039112046,0.0,0.17847587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04035461,0.0,0.15922101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19016339,0.0,0.0,0.0,0.17270234,0.0,0.0,0.0,0.0,0.24742363,0.0887223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12776235,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.10871179,0.118531704,0.0,0.060910378,0.1768908,0.0,0.0,0.0,0.07312535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1105532,0.0,0.1751451,0.0,0.0,0.0,0.041720957,0.0,0.0
0.0,0.0,0.032544084,0.15993609,0.15443277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16225912,0.0,0.1597666,0.0,0.0,0.1991883,0.0,0.0,0.0,0.0
0.0,0.0,0.111987285,0.0,0.17453612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09412775,0.0,0.0,0.22721402,0.0,0.20926678,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.059357427,0.0,0.0,0.0,0.11701272,0.18207183,0.0,0.0,0.0,0.0,0.0,0.21065524,0.0,0.077237524,0.0,0.16233626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1580344,0.0,0.0,0.0,0.19771245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14860964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18828836,0.16165209,0.0,0.0,0.0,0.0,0.0,0.0
0.039627254,0.085709296,0.0,0.0,0.033903766,0.15494008,0.0,0.1572308,0.0,0.0,0.058738146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03499367,0.0,0.0,0.0,0.0,0.16111048,0.21365996,0.0,0.0
0.0,0.0,0.23190376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09527042,0.1743523,0.0,0.09501952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04691842,0.0,0.10594652,0.0,0.04661254,0.0,0.0,0.0
0.14218216,0.13121814,0.041833907,0.0,0.0,0.0,0.19194262,0.0,0.0,0.0,0.0,0.08716075,0.0,0.0,0.0,0.108605936,0.0,0.0,0.0,0.0,0.0,0.12187798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08132591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08895277,0.0,0.0,0.0,0.0,0.0,0.27757898,0.096469134,0.12363178,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.18022372,0.0,0.0,0.0,0.0,0.0,0.16657932,0.0,0.08168711,0.0,0.0,0.0,0.041971765,0.0,0.0,0.0,0.0,0.16061737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09038745,0.0
0.0,0.0,0.24460466,0.0,0.0,0.13412985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15810543,0.11398137,0.0,0.0,0.0,0.16580279,0.0,0.0,0.03573734
0.055828225,0.059067298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15785998,0.0,0.10199819,0.0,0.0,0.0,0.0,0.13669066,0.0,0.17031896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15874794
0.0,0.10620277,0.0,0.17555901,0.0,0.0,0.0,0.0,0.0,0.18329692,0.0,0.0,0.0,0.0,0.23928049,0.09676189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041695315,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.13254684,0.0,0.0,0.0,0.0,0.0,0.0,0.13696095,0.0,0.0,0.0,0.0,0.0,0.0,0.18861169,0.0,0.0,0.0,0.0,0.07006482,0.0,0.0,0.0,0.0,0.0,0.20243482,0.0,0.17537355
0.0,0.12094931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18677224,0.0,0.0,0.03997157,0.0,0.10604478,0.0,0.0,0.0,0.0,0.23503004,0.15222251,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.12134041,0.0,0.0,0.0,0.12979603,0.09004885,0.0,0.0,0.0,0.0,0.052175328,0.0,0.0,0.0,0.18214437,0.0,0.0,0.0,0.0,0.0,0.19193622,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083761394,0.22366883,0.0,0.0,0.0,0.0,0.18862683,0.0,0.08350693,0.17716923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16696149,0.0,0.0,0.0,0.2500144,0.15142487,0.0,0.0,0.0,0.0,0.0,0.0,0.13169076,0.0,0.0,0.0,0.0,0.039079826,0.0,0.0,0.0,0.0,0.11211713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.152911,0.0,0.0,0.0,0.06870205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22076672,0.0,0.0,0.0,0.0,0.117378406,0.0,0.0,0.14148451,0.0
0.0,0.12203638,0.0,0.0,0.0,0.0,0.0,0.20299926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16791989,0.0,0.18322876,0.09717225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17572881,0.13205709,0.0,0.1154958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11802301,0.0,0.22937062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
